timestamp,gyro_rad0,gyro_rad1,gyro_rad2,gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s20,accelerometer_m_s21,accelerometer_m_s22,accelerometer_integral_dt,basestation,flight_number
59526784,-0.033346944,-0.014330502,0.002402761,3968,0,0.030951604,0.2230873,-9.679309,3968,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59626790,0.0027721827,-0.03916018,0.009753082,4007,0,-0.1750153,-0.07445679,-9.806971,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59730837,0.034605682,-0.030825013,0.011967192,4053,0,-0.25082213,0.022263998,-9.792622,4053,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59834784,0.007757244,-0.011232547,-0.017679641,3962,0,-0.3104991,0.049704004,-9.660808,3962,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59934784,0.00972819,0.0582293,0.013283387,3994,0,0.23535207,-0.023437612,-10.0740185,3994,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60034784,-0.021037854,-0.023100177,0.00939461,4000,0,0.08702826,-0.06447808,-9.750452,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60136384,-0.007469496,0.0077771614,-0.0067979996,4000,0,0.20081107,0.45128787,-9.756568,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60240392,-0.0096065765,-0.0017773987,-0.010561941,4008,0,0.015089028,-0.11705349,-9.8301,4008,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60340384,-0.0006646787,0.004426854,-0.007355632,3970,0,-0.2515075,0.2785716,-9.73012,3970,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60444431,0.00021410779,-0.014438159,0.0008193696,4048,0,-0.31954697,0.09925571,-9.710135,4048,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60548392,-0.041051652,0.0055542625,-0.023039589,4008,0,0.4157554,-0.16875109,-9.862258,4008,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60648386,-0.04065271,0.029016972,-0.04483367,4002,0,0.14404738,0.0072696214,-9.8624525,4002,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60752383,-0.025241338,0.0052837688,0.026036102,3999,0,0.2000144,0.11206738,-9.751207,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60852387,0.016874362,-0.012859156,-0.013129202,3981,0,-0.046035137,0.119222835,-9.817001,3981,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60952384,0.023831349,-0.029740721,0.022476237,4000,0,0.18796536,0.30539197,-9.704767,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61056407,0.015236685,0.0026866666,-0.008324868,4023,0,-0.011571176,-0.06285804,-10.010787,4023,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61157988,-0.046586286,0.032071292,0.008009361,4002,0,0.1506373,0.10497454,-10.035045,4002,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61257990,0.018492853,-0.057677213,-0.0038338215,4006,0,-0.33209878,0.031769693,-10.097247,4006,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61357984,-0.008013216,-0.03583377,0.011851697,3996,0,-0.11950687,-0.06659618,-10.006488,3996,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61461993,-0.02992864,-0.003557239,0.014377099,4009,0,0.24972118,0.22517945,-10.023626,4009,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61561984,-0.024533192,0.03964865,-0.006098268,4000,0,0.09557743,0.288341,-9.908265,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61665984,-0.0049086884,-0.00043270426,0.0025955248,4000,0,0.005331487,0.2770577,-9.7899475,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61765984,0.009040738,0.0021810718,0.004112068,4000,0,-0.09550171,-0.05917772,-9.677779,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61865984,0.019822732,0.04012113,-0.013789194,4000,0,0.19637528,0.37556607,-9.76294,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61969984,0.013839136,0.056480378,-0.00416388,4000,0,0.28446424,0.13791224,-9.196985,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62069983,0.023417389,0.043869853,-0.0053006546,3984,0,-0.0003228646,0.12890936,-9.670365,3984,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62171584,0.03813472,0.051295772,0.008077598,3998,0,0.0138265025,0.20734861,-9.274622,3998,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62271584,0.025319284,0.031751007,0.03113994,4000,0,-0.09800535,0.21286869,-9.362133,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62375629,-0.0084366985,-0.0346166,-0.017172646,4039,0,0.0662616,0.1511079,-10.099588,4039,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62475583,-0.05679821,-0.065582015,-0.014867041,3994,0,0.37690622,0.20920855,-9.966975,3994,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62579584,0.038710978,0.021951811,0.0074454215,4000,0,0.055134997,0.25535133,-9.699159,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62679584,0.0038044376,0.015135342,0.00790821,4001,0,-0.050085764,0.09424974,-9.757484,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62779621,0.025603367,0.041104995,-0.0073338253,4031,0,0.101143055,-0.22489606,-9.71487,4031,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62883584,-0.012487803,-0.02847284,-0.00562918,4000,0,0.11073089,0.11194125,-9.577952,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62983588,-0.022756329,-0.01981679,-0.009776161,4004,0,0.12738405,0.042194787,-9.69912,4004,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63083584,0.038049534,-0.010362725,0.0031896061,4000,0,0.09453904,0.20195283,-9.656635,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63188383,0.011614815,0.014508844,-0.0072606076,4000,0,-0.11933245,-0.098000385,-9.722658,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63288390,0.029815635,0.003572358,-0.006871018,3979,0,-0.1470491,0.27210325,-9.585632,3979,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63388383,0.0055675833,0.031318896,-0.0045157,4000,0,0.14437588,0.040752653,-9.756678,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63492383,-0.012583704,-0.010277455,0.010548079,4000,0,0.21330163,0.15279363,-9.868958,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63592384,-0.042149454,-0.009380792,0.009037673,3998,0,0.26103026,0.07280516,-9.99727,3998,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63692384,-0.009648817,0.041698113,0.0039420314,3992,0,0.26222768,0.20827635,-9.829578,3992,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63796388,0.03237407,-0.023093125,-0.015468208,4005,0,0.32605198,0.22985652,-9.857425,4005,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63896386,-0.00014343212,-0.049783792,0.038655955,4002,0,-0.07898994,-0.09736425,-9.524046,4002,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64000384,-0.010841047,0.00691478,0.01405354,3993,0,0.05500547,0.07455215,-9.796747,3993,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64104388,-0.012870324,0.0010725801,-0.0017047792,4004,0,0.042904332,0.095525384,-9.51715,4004,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64204384,0.029025372,0.029556856,0.0027499893,4000,0,-0.30313185,-0.0954002,-9.6037245,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64308384,-0.028349122,0.020714415,-0.019521069,4001,0,-0.06927527,-0.107606806,-9.93385,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64408402,0.023653194,0.0068488945,0.0018110155,4019,0,-0.019698314,0.22918382,-9.976157,4019,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64509984,-0.018240437,0.017785048,-0.010923019,4000,0,0.11520087,-0.17806964,-9.676048,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64609998,-0.03449887,-0.0486398,0.0006865255,4015,0,0.3010825,0.24520454,-9.548743,4015,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64713996,-0.03225302,-0.009284047,-0.00043330257,4012,0,-0.05318274,0.047718845,-9.454158,4012,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64813983,0.03202894,-0.0075319763,0.009833807,3999,0,0.21729568,0.7091666,-9.622924,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64913983,-0.006248387,0.009573023,0.00063744537,4000,0,0.1703044,0.19834724,-9.642925,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65017983,-0.0090061305,-0.008242736,0.009460104,3987,0,-0.011207994,-0.032459132,-9.933839,3987,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65117983,-0.008525353,0.021697238,0.020606793,3988,0,-0.23325284,0.012371845,-9.900273,3988,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65221997,-0.019274315,-0.03373377,-0.024974981,4011,0,0.14410025,0.29399234,-9.967416,4011,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65321984,0.016601598,-0.010568731,-0.024853284,4000,0,0.20682015,-0.031050127,-10.057502,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65421984,-0.025544496,-0.039632566,0.00034338632,4000,0,-0.13333416,0.008634315,-9.792379,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65523591,0.05524967,-0.011726181,-0.004725608,4007,0,0.4829602,0.1191976,-9.440889,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65627590,-0.0491358,0.008932856,0.0065478343,4006,0,0.007166184,0.13134617,-10.16197,4006,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
