timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
59527276,-0.034545165,-0.01522922,-0.00027405797,0.70647556,-0.00052543177,0.0061084176,-0.7077109,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59627359,0.0015719553,-0.040057346,0.0070820358,0.7065998,-0.0004959499,0.005995252,-0.70758796,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59731524,0.033405617,-0.03172368,0.0092962,0.70655936,-0.00048947555,0.0060284566,-0.7076281,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59835294,0.006555457,-0.012132027,-0.020341817,0.7063816,-0.00046313013,0.006066272,-0.7078051,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59935263,0.008525609,0.057328995,0.01062415,0.706489,-0.00042558715,0.0061296104,-0.70769733,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60039435,-0.011521239,0.012415494,0.0018209415,0.70644796,-0.0003578054,0.006095645,-0.7077387,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60136840,-0.008678028,0.0068787206,-0.009440392,0.70638674,-0.00038842944,0.0061468235,-0.7077994,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60241011,-0.0108124865,-0.0026785,-0.013200779,0.7066145,-0.0003588513,0.006082759,-0.7075726,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60341035,-0.0018720098,0.003527945,-0.009980431,0.7064245,-0.00039964364,0.0061471597,-0.7077617,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60445360,-0.0009934284,-0.015337278,-0.0017994863,0.7065982,-0.00034407704,0.0060926117,-0.70758873,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
