timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled,basestation,flight_number
59200830,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59696681,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60705678,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61707517,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62716953,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63717776,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64719883,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65697015,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66193062,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66696848,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67702593,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68714234,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69051825,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70052721,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71057527,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72063129,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
73065930,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
74066565,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75076089,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75183475,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76189104,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76210587,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76245022,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76292632,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76680771,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
77687051,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
78696071,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
79705906,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
80715009,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
81724125,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
82728794,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
83734296,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
84739859,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
85741549,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
86744023,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
87749668,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
88755531,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
89759773,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
90765398,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
91775361,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
92784397,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
93794981,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
94799618,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
95806231,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
96816540,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
97817794,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
98822724,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
99831857,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
100842184,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
101843544,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
102849437,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
103850670,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
104852343,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
105858013,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
106868428,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
107873415,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
