timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
59460311,1652271616599785,293754213,-895490927,874,-25360,0.202,3.1415925,0.4016,0.8107,0.55,1.14,73,32,0.017,-0.014,-0.010000001,0.028,0.0,-27,,0.0,-18,-41,5,-1,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59541448,1652271616699785,293754213,-895490927,874,-25361,0.147,3.1415925,0.4016,0.8107,0.55,1.14,73,32,0.044000003,0.004,0.043,-0.021000002,0.0,-3907,,0.0,-36,-8,-1,4,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59644696,1652271616799785,293754213,-895490927,868,-25366,0.20300001,2.4572916,0.4017,0.8109,0.55,1.14,73,32,0.054,0.046000004,-0.030000001,0.015000001,0.0,-4015,,0.0,-23,12,2,-3,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59740800,1652271616899785,293754213,-895490927,870,-25364,0.20400001,3.1415925,0.4017,0.811,0.55,1.14,73,30,0.013,0.0050000004,-0.011000001,-0.020000001,0.0,-4195,,0.0,-12,10,5,-1,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59849470,1652271616999786,293754213,-895490927,861,-25374,0.20600002,3.1415925,0.4019,0.8113,0.55,1.14,73,30,0.028,0.022000002,-0.017,0.006,0.0,-3977,,0.0,-19,7,-2,2,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59940645,1652271617099785,293754213,-895490927,866,-25369,0.21400002,3.1415925,0.40219998,0.81159997,0.55,1.14,73,30,0.028,-0.027,0.004,0.018000001,0.0,-3952,,0.0,-33,24,1,5,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60041464,1652271617199785,293754212,-895490926,859,-25376,0.19900002,3.1415925,0.4025,0.812,0.55,1.14,73,30,0.05,-0.025,0.043,-0.035,0.0,-4437,,0.0,26,-35,-4,1,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60138539,1652271617299785,293754212,-895490926,852,-25382,0.21700001,1.2664,0.40269998,0.81229997,0.55,1.14,73,30,0.112,0.094000004,-0.059000004,0.051000003,0.0,-4007,,0.0,49,-29,2,-4,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60242489,1652271617399785,293754213,-895490926,855,-25379,0.21300001,2.7972074,0.403,0.81259996,0.55,1.14,73,30,0.046000004,-0.044000003,0.013,0.018000001,0.0,-3943,,0.0,-44,-28,2,-4,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60334550,1652271617499785,293754212,-895490926,850,-25384,0.22000001,3.1415925,0.4033,0.8129,0.55,1.14,73,30,0.038000003,0.037,-0.002,0.011000001,0.0,-4032,,0.0,44,-6,4,-1,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60438543,1652271617599785,293754212,-895490926,853,-25382,0.22700001,3.1415925,0.40359998,0.8132,0.55,1.14,73,30,0.009000001,-0.009000001,0.0,0.037,0.0,-4053,,0.0,46,15,-2,2,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60542091,1652271617699785,293754212,-895490926,860,-25375,0.19100001,2.96274,0.40379998,0.8135,0.55,1.14,73,30,0.057000004,-0.051000003,-0.027,-0.016,0.0,-3919,,0.0,8,23,-4,0,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60638470,1652271617799785,293754212,-895490926,845,-25390,0.22500001,1.6914467,0.4041,0.8138,0.55,1.14,73,30,0.076000005,0.076000005,-0.002,0.048,0.0,-27,,0.0,9,20,-3,2,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60738469,1652271617899785,293754212,-895490925,852,-25383,0.15100001,3.1415925,0.4043,0.8142,0.55,1.14,74,34,0.018000001,-0.004,0.017,-0.001,0.0,-4012,,0.0,29,-47,-2,2,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60846528,1652271617999786,293754212,-895490925,854,-25380,0.20600002,3.1415925,0.40469998,0.8146,0.55,1.14,74,34,0.022000002,0.018000001,-0.013,0.001,0.0,-37,,0.0,26,-26,1,-4,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60938471,1652271618099785,293754212,-895490925,843,-25392,0.23400001,3.1415925,0.405,0.815,0.55,1.14,74,34,0.008,0.008,-0.001,0.07300001,0.0,-4199,,0.0,24,-18,-4,0,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61038568,1652271618199785,293754212,-895490925,838,-25397,0.21000001,3.1415925,0.40539998,0.8154,0.55,1.14,74,34,0.010000001,-0.001,-0.010000001,-0.017,0.0,-4075,,0.0,13,-7,-2,3,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61140550,1652271618299785,293754212,-895490925,840,-25394,0.209,3.1415925,0.4057,0.81579995,0.55,1.14,74,34,0.029000001,-0.015000001,0.026,0.038000003,0.0,-4331,,0.0,-3,23,4,-2,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61235456,1652271618399785,293754212,-895490924,835,-25400,0.23500001,3.1415925,0.4059,0.8161,0.55,1.14,74,34,0.029000001,0.028,-0.007,0.061000004,0.0,-3428,,0.0,-6,-50,-4,0,3,1,26,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
